samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species
M01895:175:000000000-CJJKT:1:1101:11390:19310__kiwi2019__AG0320-278__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,,,,,
M01895:175:000000000-CJJKT:1:1110:19352:27691__kiwi2019__AG0320-106__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2102:15243:27430__kiwi2019__AG0320-021__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:14716:7495__kiwi2019__AG0320-740__515f,Bacteria,,,Firmicutes,Tissierellia,,Tissierellales,,Peptoniphilaceae,,,Peptoniphilus,
M01895:175:000000000-CJJKT:1:2103:17153:12645__kiwi2019__AG0320-041__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2107:12818:20607__kiwi2019__AG0320-106__515f,Bacteria,,,Verrucomicrobia,Verrucomicrobiae,,Verrucomicrobiales,,Akkermansiaceae,,,Akkermansia,
M01895:175:000000000-CJJKT:1:1114:20426:8790__kiwi2019__AG0320-257__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2105:13224:2980__kiwi2019__AG0320-262__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Cytophagaceae,,,Dyadobacter,
M01895:175:000000000-CJJKT:1:1103:8496:20866__kiwi2019__AG0320-095__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1112:25667:6166__kiwi2019__AG0320-014__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Sutterellaceae,,,Sutterella,
M01895:175:000000000-CJJKT:1:1108:22358:21897__kiwi2019__AG0320-696__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Caulobacterales,,Caulobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2105:21451:15032__kiwi2019__AG0320-002__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,Clostridium,uncultured Clostridium sp.
M01895:175:000000000-CJJKT:1:1105:17215:8112__kiwi2019__AG0320-098__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Hymenobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2113:19966:4039__kiwi2019__AG0320-093__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,,
M01895:175:000000000-CJJKT:1:2101:21952:4582__kiwi2019__AG0320-696__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,Helotiales,,,,,,
M01895:175:000000000-CJJKT:1:2108:26734:20936__kiwi2019__AG0320-292__515f,Bacteria,,,Gemmatimonadetes,Gemmatimonadetes,,Gemmatimonadales,,Gemmatimonadaceae,,,Gemmatimonas,uncultured Gemmatimonas sp.
M01895:175:000000000-CJJKT:1:2104:15213:22563__kiwi2019__AG0320-032__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Corynebacteriales,,Nocardiaceae,,,Rhodococcus,
M01895:175:000000000-CJJKT:1:2105:6356:15502__kiwi2019__AG0320-622__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,,,,,
M01895:175:000000000-CJJKT:1:2108:10886:9981__kiwi2019__AG0320-094__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Desulfovibrionales,,Desulfovibrionaceae,,,Bilophila,
M01895:175:000000000-CJJKT:1:1112:17616:1521__kiwi2019__AG0320-094__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:21178:18192__kiwi2019__AG0320-678__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Microbacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1108:26687:9593__kiwi2019__AG0320-021__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1112:13024:23547__kiwi2019__AG0320-425__515f,Eukaryota,Viridiplantae,,Streptophyta,,Pinidae,Cupressales,,Cupressaceae,,,,
M01895:175:000000000-CJJKT:1:1106:11551:27686__kiwi2019__AG0320-324__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,,,,,
M01895:175:000000000-CJJKT:1:1102:13066:2397__kiwi2019__AG0320-427__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2101:13201:11035__kiwi2019__AG0320-050__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2114:21333:12793__kiwi2019__AG0320-609__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Alcaligenaceae,,,,
M01895:175:000000000-CJJKT:1:1104:15768:19512__kiwi2019__AG0320-265__515f,Bacteria,,,Actinobacteria,Thermoleophilia,,Solirubrobacterales,,,,,,
M01895:175:000000000-CJJKT:1:1105:22449:9748__kiwi2019__AG0320-010__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1113:24567:13893__kiwi2019__AG0320-076__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:19460:17710__kiwi2019__AG0320-600__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Clavicipitaceae,,,,
M01895:175:000000000-CJJKT:1:2113:26918:13135__kiwi2019__AG0320-021__515f,Bacteria,,,Chlamydiae,Chlamydiia,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:17121:7941__kiwi2019__AG0320-050__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:15527:6550__kiwi2019__AG0320-009__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1111:24838:12356__kiwi2019__AG0320-292__515f,Bacteria,,,Verrucomicrobia,,,,,,,,,
M01895:175:000000000-CJJKT:1:2109:20134:10622__kiwi2019__AG0320-276__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1101:13453:20705__kiwi2019__AG0320-029__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1103:21117:11310__kiwi2019__AG0320-060__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1104:16416:11020__kiwi2019__AG0320-103__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:23939:13301__kiwi2019__AG0320-265__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:2102:24711:21567__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2107:10537:24140__kiwi2019__AG0320-658__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:12160:26393__kiwi2019__AG0320-292__515f,Bacteria,,,Planctomycetes,Planctomycetia,,Planctomycetales,,Isosphaeraceae,,,Singulisphaera,uncultured Singulisphaera sp.
M01895:175:000000000-CJJKT:1:2109:15195:24206__kiwi2019__AG0320-059__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1108:22488:12899__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:8231:6807__kiwi2019__AG0320-701__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Clostridiaceae,,,,
M01895:175:000000000-CJJKT:1:1102:19940:8315__kiwi2019__AG0320-012__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Cytophagaceae,,,Cytophaga,
M01895:175:000000000-CJJKT:1:2108:17239:7757__kiwi2019__AG0320-004__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,Bacteroides,
M01895:175:000000000-CJJKT:1:2111:23327:10470__kiwi2019__AG0320-037__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1106:19867:11179__kiwi2019__AG0320-293__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:17981:23042__kiwi2019__AG0320-293__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:14473:20424__kiwi2019__AG0320-073__515f,Bacteria,,,Tenericutes,Mollicutes,,Mycoplasmatales,,Mycoplasmataceae,,,Mycoplasma,
M01895:175:000000000-CJJKT:1:2112:14182:20939__kiwi2019__AG0320-006__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Streptomycetales,,Streptomycetaceae,,,Streptomyces,
M01895:175:000000000-CJJKT:1:1112:12384:12595__kiwi2019__AG0320-012__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:20569:14523__kiwi2019__AG0320-097__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1102:7699:12165__kiwi2019__AG0320-315__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1107:14790:28751__kiwi2019__AG0320-451__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Carnobacteriaceae,,,Atopostipes,
M01895:175:000000000-CJJKT:1:1108:13853:21134__kiwi2019__AG0320-053__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1112:13732:26523__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:10658:21581__kiwi2019__AG0320-761__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Zymomonas,Zymomonas mobilis
M01895:175:000000000-CJJKT:1:1102:13930:16668__kiwi2019__AG0320-484__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:9509:21111__kiwi2019__AG0320-020__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:21503:18255__kiwi2019__AG0320-538__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Hyphomicrobiaceae,,,Devosia,
M01895:175:000000000-CJJKT:1:1102:16930:17176__kiwi2019__AG0320-701__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Neisseriales,,Neisseriaceae,,,,
M01895:175:000000000-CJJKT:1:1107:22733:17067__kiwi2019__AG0320-131__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2101:7775:17379__kiwi2019__AG0320-090__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:2105:15847:16256__kiwi2019__AG0320-141__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2114:24021:18478__kiwi2019__AG0320-698__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1103:24262:5766__kiwi2019__AG0320-293__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1113:20815:14122__kiwi2019__AG0320-746__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:10256:24189__kiwi2019__AG0320-052__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:2106:3612:18724__kiwi2019__AG0320-289__515f,Bacteria,,,Proteobacteria,,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:8391:14914__kiwi2019__AG0320-331__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Oxalobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1111:23664:9055__kiwi2019__AG0320-292__515f,Bacteria,,,Chloroflexi,Ktedonobacteria,,Ktedonobacterales,,,,,,
M01895:175:000000000-CJJKT:1:2101:13733:23842__kiwi2019__AG0320-293__515f,Bacteria,,,Actinobacteria,Thermoleophilia,,Solirubrobacterales,,,,,,
M01895:175:000000000-CJJKT:1:2102:15430:19970__kiwi2019__AG0320-049__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Prevotellaceae,,,Paraprevotella,uncultured Paraprevotella sp.
M01895:175:000000000-CJJKT:1:2105:27326:14584__kiwi2019__AG0320-426__515f,Eukaryota,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2110:6224:18121__kiwi2019__AG0320-100__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2114:15972:12873__kiwi2019__AG0320-806__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1107:8465:11601__kiwi2019__AG0320-004__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1112:15175:24852__kiwi2019__AG0320-678__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2104:22895:15647__kiwi2019__AG0320-297__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Corynebacteriales,,Corynebacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2109:10275:9278__kiwi2019__AG0320-013__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:2111:20663:9122__kiwi2019__AG0320-021__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:24406:15956__kiwi2019__AG0320-293__515f,Bacteria,,,Bacteroidetes,Chitinophagia,,Chitinophagales,,Chitinophagaceae,,,,
M01895:175:000000000-CJJKT:1:1108:2207:18988__kiwi2019__AG0320-300__515f,Bacteria,,,Planctomycetes,Planctomycetia,,Planctomycetales,,Planctomycetaceae,,,Planctomyces,uncultured Planctomyces sp.
M01895:175:000000000-CJJKT:1:1112:19897:2860__kiwi2019__AG0320-073__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rickettsiales,,Rickettsiaceae,,Rickettsieae,Rickettsia,
M01895:175:000000000-CJJKT:1:1113:10130:5752__kiwi2019__AG0320-440__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Hyphomicrobiaceae,,,Rhodoplanes,uncultured Rhodoplanes sp.
M01895:175:000000000-CJJKT:1:2106:6202:8464__kiwi2019__AG0320-180__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,Roseomonas,
M01895:175:000000000-CJJKT:1:2109:5404:10568__kiwi2019__AG0320-109__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Brucellaceae,,,Ochrobactrum,
M01895:175:000000000-CJJKT:1:2112:3982:11612__kiwi2019__AG0320-190__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Hymenobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1102:15226:20441__kiwi2019__AG0320-113__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Xanthomonadales,,Xanthomonadaceae,,,,
M01895:175:000000000-CJJKT:1:1106:15923:18886__kiwi2019__AG0320-110__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1110:18600:12491__kiwi2019__AG0320-010__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2110:9261:26622__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2114:20014:21936__kiwi2019__AG0320-513__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,Chaetothyriomycetidae,,,,,,,
M01895:175:000000000-CJJKT:1:1107:28187:19903__kiwi2019__AG0320-652__515f,Bacteria,,,Actinobacteria,Acidimicrobiia,,Acidimicrobiales,,Acidimicrobiaceae,,,,
M01895:175:000000000-CJJKT:1:1114:12459:9367__kiwi2019__AG0320-098__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:2102:8015:20235__kiwi2019__AG0320-012__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Paenibacillaceae,,,Paenibacillus,
M01895:175:000000000-CJJKT:1:2110:19176:10517__kiwi2019__AG0320-435__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,,,,,
M01895:175:000000000-CJJKT:1:1101:27778:17866__kiwi2019__AG0320-648__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,,,,,
M01895:175:000000000-CJJKT:1:1105:2683:13555__kiwi2019__AG0320-075__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:22308:20510__kiwi2019__AG0320-243__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Caulobacterales,,Caulobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2103:6984:18135__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:20551:11340__kiwi2019__AG0320-004__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:22183:12563__kiwi2019__AG0320-111__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Rhodospirillaceae,,,,
M01895:175:000000000-CJJKT:1:1107:6647:22268__kiwi2019__AG0320-289__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:10876:8707__kiwi2019__AG0320-107__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:9003:7267__kiwi2019__AG0320-286__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Methylobacteriaceae,,,Methylobacterium,
M01895:175:000000000-CJJKT:1:1111:7365:16002__kiwi2019__AG0320-500__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:12449:3912__kiwi2019__AG0320-668__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2113:3486:12475__kiwi2019__AG0320-218__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,Acidisphaera,
M01895:175:000000000-CJJKT:1:1102:8390:6258__kiwi2019__AG0320-638__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1104:28004:11817__kiwi2019__AG0320-656__515f,Bacteria,,,Tenericutes,Mollicutes,,Entomoplasmatales,,,,,,
M01895:175:000000000-CJJKT:1:1109:18477:5334__kiwi2019__AG0320-570__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,Enterobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1111:24956:12127__kiwi2019__AG0320-829__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Micrococcaceae,,,Nesterenkonia,
M01895:175:000000000-CJJKT:1:1113:9433:21822__kiwi2019__AG0320-289__515f,Bacteria,,,Verrucomicrobia,Spartobacteria,,Chthoniobacterales,,Chthoniobacteraceae,,,Chthoniobacter,
M01895:175:000000000-CJJKT:1:2105:11270:12559__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2110:20044:2428__kiwi2019__AG0320-279__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Myxococcales,Sorangiineae,Polyangiaceae,,,Byssovorax,uncultured Byssovorax sp.
M01895:175:000000000-CJJKT:1:2113:11106:20942__kiwi2019__AG0320-060__515f,Bacteria,,,Actinobacteria,Coriobacteriia,,Eggerthellales,,Eggerthellaceae,,,Slackia,
M01895:175:000000000-CJJKT:1:1102:6713:20151__kiwi2019__AG0320-702__515f,Bacteria,,,Deinococcus-Thermus,Deinococci,,Thermales,,Thermaceae,,,Thermus,
M01895:175:000000000-CJJKT:1:1103:8122:10941__kiwi2019__AG0320-639__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Micrococcaceae,,,Rothia,
M01895:175:000000000-CJJKT:1:1104:23793:21524__kiwi2019__AG0320-052__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:1110:15719:26747__kiwi2019__AG0320-361__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1113:10656:17232__kiwi2019__AG0320-280__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Hyphomicrobiaceae,,,Hyphomicrobium,
M01895:175:000000000-CJJKT:1:1113:18455:17728__kiwi2019__AG0320-004__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2104:7580:17659__kiwi2019__AG0320-292__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,Stella,uncultured Stella sp.
M01895:175:000000000-CJJKT:1:2110:26500:16285__kiwi2019__AG0320-061__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:1102:14965:4700__kiwi2019__AG0320-027__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,,,,,,Ignatzschineria,
M01895:175:000000000-CJJKT:1:1102:19806:14293__kiwi2019__AG0320-067__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1103:28211:20270__kiwi2019__AG0320-630__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,Bacillus,
M01895:175:000000000-CJJKT:1:1104:8968:11010__kiwi2019__AG0320-078__515f,Bacteria,,,Bacteroidetes,Chitinophagia,,Chitinophagales,,Chitinophagaceae,,,Sediminibacterium,
M01895:175:000000000-CJJKT:1:1114:4630:23423__kiwi2019__AG0320-113__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:23763:24506__kiwi2019__AG0320-312__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2109:10225:17515__kiwi2019__AG0320-289__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:13072:27671__kiwi2019__AG0320-617__515f,Bacteria,,,Actinobacteria,Coriobacteriia,,Coriobacteriales,,Atopobiaceae,,,Atopobium,
M01895:175:000000000-CJJKT:1:1102:4176:10535__kiwi2019__AG0320-021__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,Lachnospiraceae,,,Blautia,
M01895:175:000000000-CJJKT:1:1104:18565:12384__kiwi2019__AG0320-697__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1104:21788:14003__kiwi2019__AG0320-293__515f,Bacteria,,,Gemmatimonadetes,Gemmatimonadetes,,Gemmatimonadales,,Gemmatimonadaceae,,,Gemmatimonas,uncultured Gemmatimonas sp.
M01895:175:000000000-CJJKT:1:1108:3285:17628__kiwi2019__AG0320-101__515f,Bacteria,,,Chloroflexi,Ktedonobacteria,,Ktedonobacterales,,Ktedonobacteraceae,,,Ktedonobacter,
M01895:175:000000000-CJJKT:1:1111:9732:16998__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2102:5363:10701__kiwi2019__AG0320-543__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Aerococcaceae,,,,
M01895:175:000000000-CJJKT:1:1101:18188:8226__kiwi2019__AG0320-172__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1104:13132:9784__kiwi2019__AG0320-312__515f,Bacteria,,,Gemmatimonadetes,Gemmatimonadetes,,Gemmatimonadales,,Gemmatimonadaceae,,,Gemmatimonas,uncultured Gemmatimonas sp.
M01895:175:000000000-CJJKT:1:1107:20082:15997__kiwi2019__AG0320-289__515f,Bacteria,,,Gemmatimonadetes,Gemmatimonadetes,,Gemmatimonadales,,Gemmatimonadaceae,,,Gemmatimonas,uncultured Gemmatimonas sp.
M01895:175:000000000-CJJKT:1:1108:13114:2875__kiwi2019__AG0320-292__515f,Archaea,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1109:8560:22193__kiwi2019__AG0320-434__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,,,,
M01895:175:000000000-CJJKT:1:1113:10695:16425__kiwi2019__AG0320-678__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:2104:25972:19980__kiwi2019__AG0320-066__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Corynebacteriales,,Nocardiaceae,,,Rhodococcus,
M01895:175:000000000-CJJKT:1:2106:7275:20777__kiwi2019__AG0320-016__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Streptosporangiales,,Thermomonosporaceae,,,Actinoallomurus,uncultured Actinoallomurus sp.
M01895:175:000000000-CJJKT:1:2110:11787:16052__kiwi2019__AG0320-652__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,,Taphrina,
M01895:175:000000000-CJJKT:1:2114:14785:11750__kiwi2019__AG0320-021__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1103:18377:25822__kiwi2019__AG0320-720__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1105:6260:20318__kiwi2019__AG0320-113__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Rikenellaceae,,,,
M01895:175:000000000-CJJKT:1:1106:9518:4807__kiwi2019__AG0320-041__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1107:13543:18427__kiwi2019__AG0320-013__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,Bacteroides,
M01895:175:000000000-CJJKT:1:1109:22250:4687__kiwi2019__AG0320-103__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Actinomycetales,,Actinomycetaceae,,,Actinomyces,
M01895:175:000000000-CJJKT:1:1113:21594:14275__kiwi2019__AG0320-292__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2105:8157:11172__kiwi2019__AG0320-292__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:12546:11969__kiwi2019__AG0320-596__515f,Bacteria,,,Bacteroidetes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:22718:6958__kiwi2019__AG0320-004__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Prevotellaceae,,,Paraprevotella,
